trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
397,False,"{'a': 0.5, 'e': 0.01850002244158258}",35,27,14.116694055751925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.5, 'e': 0.018315022217166757}",25,14,18.92353097417194,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.5, 'e': 0.018131871994995087}",20,0,22.942812621504498,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
400,False,"{'a': 0.5, 'e': 0.017950553275045137}",20,1,30.832435848157708,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
401,False,"{'a': 0.5, 'e': 0.017771047742294686}",20,13,13.595039262149463,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
402,False,"{'a': 0.5, 'e': 0.01759333726487174}",25,12,19.09173092513769,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
403,False,"{'a': 0.5, 'e': 0.017417403892223023}",20,10,16.237832884949782,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
404,False,"{'a': 0.5, 'e': 0.01724322985330079}",20,13,12.097395693590835,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
405,False,"{'a': 0.5, 'e': 0.017070797554767782}",20,5,24.484845516084523,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.5, 'e': 0.016900089579220106}",20,16,6.678515029445841,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
407,False,"{'a': 0.5, 'e': 0.016731088683427903}",25,3,36.71952706390547,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
408,False,"{'a': 0.5, 'e': 0.016563777796593626}",20,14,14.524120584512886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
409,False,"{'a': 0.5, 'e': 0.016398140018627688}",20,10,18.11449138887501,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
410,False,"{'a': 0.5, 'e': 0.01623415861844141}",25,19,8.454035414093063,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
411,False,"{'a': 0.5, 'e': 0.016071817032256998}",25,13,21.52887063323385,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
412,False,"{'a': 0.5, 'e': 0.015911098861934425}",20,0,31.659831822457587,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
413,False,"{'a': 0.5, 'e': 0.015751987873315082}",30,21,-22.634869629404264,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
414,False,"{'a': 0.5, 'e': 0.015594467994581931}",20,14,11.427852037112897,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
415,False,"{'a': 0.5, 'e': 0.015438523314636111}",20,12,15.887125092139236,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
416,False,"{'a': 0.5, 'e': 0.01528413808148975}",35,24,11.28622505258042,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
417,False,"{'a': 0.5, 'e': 0.015131296700674854}",20,10,13.132629425597589,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
418,False,"{'a': 0.5, 'e': 0.014979983733668104}",20,11,17.589381948448672,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
419,False,"{'a': 0.5, 'e': 0.014830183896331423}",20,7,22.40745126712089,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
420,False,"{'a': 0.5, 'e': 0.014681882057368109}",20,15,11.007765053413861,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
421,False,"{'a': 0.5, 'e': 0.014535063236794427}",20,13,16.064206687763626,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
422,False,"{'a': 0.5, 'e': 0.014389712604426484}",30,12,29.55744464999698,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
423,False,"{'a': 0.5, 'e': 0.014245815478382218}",25,16,18.439704338472975,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
424,False,"{'a': 0.5, 'e': 0.014103357323598397}",20,3,29.165145087054796,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.5, 'e': 0.013962323750362412}",30,20,17.285315122059345,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
426,False,"{'a': 0.5, 'e': 0.013822700512858787}",20,0,14.248107972054045,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
427,False,"{'a': 0.5, 'e': 0.013684473507730199}",25,12,25.192631173962077,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
428,False,"{'a': 0.5, 'e': 0.013547628772652897}",20,2,28.312114433215232,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
